0.190139, 900, 997, 997, 1000, 997, 1000
0.265264, 200, 300, 997, 1000, 997, 1000
0.33036, 600, 700, 900, 997, 900, 997
0.340446, 600, 700, 997, 1000, 997, 1000
0.412537, 0, 100, 200, 300, 900, 997
0.488638, 300, 400, 300, 400, 900, 997
0.520771, 100, 200, 400, 500, 900, 997
0.540884, 300, 400, 400, 500, 900, 997
0.589971, 100, 200, 500, 600, 997, 1000
0.663089, 100, 200, 600, 700, 900, 997
0.744179, 0, 100, 700, 800, 997, 1000
0.770289, 300, 400, 700, 800, 997, 1000
0.818399, 0, 100, 800, 900, 900, 997
0.878485, 500, 600, 800, 900, 900, 997
0.976594, 0, 100, 200, 300, 500, 600
0.986694, 0, 100, 300, 400, 500, 600
1.0068, 200, 300, 400, 500, 500, 600
1.0269, 200, 300, 500, 600, 500, 600
1.05301, 100, 200, 100, 200, 600, 700
1.0811, 0, 100, 300, 400, 600, 700
1.16721, 0, 100, 600, 700, 600, 700
1.1813, 100, 200, 600, 700, 600, 700
1.18638, 400, 500, 600, 700, 600, 700
1.26548, 100, 200, 500, 600, 700, 800
1.33859, 0, 100, 700, 800, 700, 800
1.36969, 700, 800, 700, 800, 700, 800
1.4298, 400, 500, 400, 500, 800, 900
1.51291, 400, 500, 600, 700, 800, 900
1.58601, 300, 400, 800, 900, 800, 900
