0.171018, 900, 997, 900, 997, 900, 997
0.186146, 100, 200, 997, 1000, 997, 1000
0.260235, 300, 400, 997, 1000, 997, 1000
0.325322, 700, 800, 900, 997, 900, 997
0.332404, 700, 800, 997, 1000, 997, 1000
0.362498, 0, 100, 0, 100, 997, 1000
0.415612, 200, 300, 200, 300, 997, 1000
0.435707, 0, 100, 300, 400, 997, 1000
0.513813, 200, 300, 400, 500, 900, 997
0.555943, 100, 200, 500, 600, 900, 997
0.608063, 400, 500, 500, 600, 997, 1000
0.664168, 200, 300, 600, 700, 900, 997
0.72728, 100, 200, 700, 800, 900, 997
0.785377, 700, 800, 700, 800, 900, 997
0.874474, 600, 700, 800, 900, 997, 1000
0.911601, 300, 400, 300, 400, 400, 500
0.926702, 300, 400, 400, 500, 400, 500
0.935793, 400, 500, 400, 500, 400, 500
0.975888, 200, 300, 300, 400, 500, 600
1.02198, 500, 600, 500, 600, 500, 600
1.12109, 200, 300, 500, 600, 600, 700
1.16618, 300, 400, 600, 700, 600, 700
1.24628, 0, 100, 500, 600, 700, 800
1.27737, 400, 500, 500, 600, 700, 800
1.30245, 300, 400, 600, 700, 700, 800
1.40158, 200, 300, 400, 500, 800, 900
1.49568, 500, 600, 600, 700, 800, 900
1.55978, 100, 200, 800, 900, 800, 900
